Iteration,Feature Count,Feature Set,Metric,Best Metric,Acceptance Probability,Random Number,Outcome
1,6,"[0, 1, 4, 7, 8, 9]",0.721,0.721,-,-,Improved
2,7,"[0, 1, 4, 6, 7, 8, 9]",0.861,0.861,-,-,Improved
3,8,"[0, 1, 4, 5, 6, 7, 8, 9]",0.858,0.861,0.9958563595322591,0.24863359786676953,Accept
4,8,"[0, 1, 2, 4, 5, 6, 8, 9]",0.862,0.862,-,-,Improved
5,9,"[0, 1, 2, 4, 5, 6, 7, 8, 9]",0.861,0.862,0.9980861478796249,0.2294800039873196,Accept
6,9,"[0, 1, 3, 4, 5, 6, 7, 8, 9]",0.847,0.862,0.9689401116907693,0.5120169034597012,Accept
7,8,"[0, 1, 3, 4, 5, 6, 7, 9]",0.843,0.862,0.9894501706094544,0.6974455643601305,Accept
8,8,"[0, 1, 2, 4, 5, 6, 7, 9]",0.861,0.862,-,-,Improved
9,9,"[0, 1, 2, 3, 4, 5, 6, 7, 9]",0.853,0.862,0.9710679643238924,0.14631847146627153,Accept
10,8,"[0, 1, 2, 3, 4, 5, 6, 9]",0.854,0.862,-,-,Improved
11,7,"[0, 1, 2, 3, 4, 5, 9]",0.859,0.862,-,-,Improved
12,7,"[1, 2, 3, 4, 5, 6, 9]",0.859,0.862,1.0,0.9862564898915351,Accept
13,7,"[1, 2, 3, 4, 6, 7, 9]",0.855,0.862,0.9722705813126504,0.3344947710561629,Accept
14,7,"[1, 2, 3, 4, 6, 7, 8]",0.854,0.862,0.9917631872045829,0.10135808541218672,Accept
15,8,"[1, 2, 3, 4, 5, 6, 7, 8]",0.85,0.862,0.9618257387115934,0.09794531149520125,Accept
16,9,"[0, 1, 2, 3, 4, 5, 6, 7, 8]",0.853,0.862,-,-,Improved
17,9,"[0, 1, 2, 3, 4, 5, 7, 8, 9]",0.854,0.862,-,-,Improved
18,10,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]",0.85,0.862,0.9385886579301135,0.5921523047184186,Accept
19,9,"[0, 1, 2, 3, 5, 6, 7, 8, 9]",0.829,0.862,0.6760744308596014,0.5460432089016465,Accept
20,8,"[0, 1, 2, 3, 5, 6, 8, 9]",0.83,0.862,-,-,Improved
21,7,"[0, 1, 2, 3, 5, 8, 9]",0.829,0.862,0.9745298730782691,0.8878925822184831,Accept
22,8,"[0, 1, 2, 3, 4, 5, 8, 9]",0.856,0.862,-,-,Improved
23,9,"[0, 1, 2, 3, 4, 5, 6, 8, 9]",0.852,0.862,0.8668945329233084,0.4910691831933649,Accept
24,9,"[0, 1, 2, 3, 4, 6, 7, 8, 9]",0.854,0.862,-,-,Improved
25,8,"[0, 2, 3, 4, 6, 7, 8, 9]",0.836,0.862,0.41080026069065195,0.2712096802914762,Accept
26,7,"[0, 3, 4, 6, 7, 8, 9]",0.837,0.862,-,-,Improved
27,6,"[0, 4, 6, 7, 8, 9]",0.847,0.862,-,-,Improved
28,7,"[0, 2, 4, 6, 7, 8, 9]",0.838,0.862,0.48465318263553936,0.16887352845331216,Accept
29,8,"[0, 2, 4, 5, 6, 7, 8, 9]",0.839,0.862,-,-,Improved
