,Survived
620,0
88,1
431,1
8,1
27,0
32,1
589,0
440,1
224,1
248,1
530,1
596,1
794,0
448,1
230,1
232,0
52,1
362,0
761,0
754,1
299,1
261,1
130,0
221,0
608,1
326,0
314,0
758,0
644,1
42,0
617,0
707,1
78,1
354,0
114,0
97,1
196,0
859,0
462,0
317,0
166,1
790,0
669,1
387,1
854,0
127,1
677,1
744,1
242,0
386,0
12,0
504,1
333,0
443,1
481,0
106,1
499,0
816,0
822,0
474,0
470,0
216,1
850,0
165,1
552,0
798,0
285,0
401,0
24,0
160,0
447,1
205,0
134,0
849,1
260,0
808,0
348,1
231,0
57,0
843,0
404,0
724,1
649,1
796,1
830,1
778,0
180,0
586,0
423,0
883,0
10,1
161,1
547,1
464,0
622,1
636,0
691,1
356,1
151,1
59,0
31,1
433,0
358,1
709,1
764,0
845,0
148,0
605,0
48,0
786,1
293,0
217,0
886,0
678,0
468,0
370,1
491,0
874,1
783,0
741,0
271,1
582,0
861,0
471,0
549,1
515,0
595,0
536,0
157,0
647,1
263,0
551,0
632,1
343,0
6,0
498,0
22,1
272,1
684,0
877,0
537,1
427,1
71,0
663,0
235,0
560,0
124,0
810,0
402,0
811,0
191,0
112,0
164,0
394,1
26,0
880,1
634,0
421,0
562,0
417,1
567,0
480,0
680,0
426,1
212,0
64,0
249,0
658,0
545,0
727,1
719,0
772,0
13,0
574,0
876,0
319,1
178,0
568,0
197,0
739,0
766,0
318,1
222,0
111,0
105,0
376,1
495,0
73,0
101,0
117,0
521,0
720,1
47,1
533,1
308,0
570,1
717,1
774,1
879,1
136,1
785,0
45,0
735,0
664,1
276,0
129,0
359,1
453,1
81,1
534,0
278,0
173,0
726,1
123,1
817,0
604,1
405,0
759,1
667,0
477,0
643,1
673,1
451,0
770,0
135,0
283,1
21,1
442,0
467,0
683,0
503,0
621,1
388,0
490,0
834,0
250,0
613,0
143,0
300,1
662,0
846,0
840,0
862,1
303,1
198,1
229,0
252,0
472,1
492,0
132,0
262,0
749,0
659,0
543,1
349,0
516,1
367,1
290,1
379,0
277,0
113,0
413,0
670,1
642,0
881,0
535,1
603,0
688,0
282,0
264,0
279,1
406,0
373,0
554,1
675,0
836,0
49,0
705,0
864,0
347,1
661,0
147,0
866,1
700,1
104,0
62,0
806,0
96,0
361,0
868,0
336,0
126,0
631,0
295,0
206,0
137,0
775,0
743,0
546,1
50,0
316,1
163,0
340,1
722,0
214,0
725,0
172,1
556,1
109,1
485,0
225,0
68,1
575,0
716,1
341,1
258,1
75,0
509,1
824,0
594,0
787,0
207,1
755,1
34,0
697,1
305,1
592,0
611,0
757,0
93,0
714,0
450,0
635,1
449,1
511,0
548,0
685,0
746,0
233,1
587,1
382,0
280,0
737,1
624,0
256,1
368,1
858,1
170,0
769,0
710,1
505,0
873,0
544,0
615,1
618,1
579,1
452,0
159,0
4,0
792,0
344,0
500,0
696,0
555,0
156,1
522,0
773,0
294,0
399,1
507,1
655,0
17,1
847,0
465,0
486,1
181,0
654,0
569,1
238,0
301,1
835,1
656,0
41,0
616,0
841,0
539,1
323,1
875,1
286,1
483,1
585,1
355,0
55,1
728,0
215,1
327,1
23,1
392,0
185,0
807,0
565,0
244,0
487,0
389,1
657,0
306,1
125,1
780,1
851,0
149,0
429,1
848,0
398,0
597,0
599,1
799,0
553,1
791,0
92,0
76,0
77,0
79,1
729,0
58,1
265,0
752,0
131,0
736,0
61,1
527,0
37,0
219,0
220,1
860,0
412,1
668,0
844,0
733,0
321,0
438,0
497,0
16,0
519,0
760,0
408,0
645,1
702,0
259,1
353,0
311,1
289,1
39,1
745,0
753,0
784,0
526,1
715,0
583,0
699,0
177,0
681,1
651,1
155,0
100,0
614,0
183,1
153,0
815,0
377,0
268,1
189,0
270,0
140,0
518,1
626,0
781,1
501,0
372,0
460,1
476,0
606,0
819,0
199,0
313,0
422,0
138,0
162,0
1,1
607,1
469,1
397,0
142,1
593,0
146,1
240,0
226,1
118,0
208,1
119,0
738,0
674,0
339,0
335,0
120,0
703,0
188,0
712,1
455,1
640,0
18,0
660,1
795,0
365,0
108,0
86,0
517,0
332,0
445,1
98,1
345,1
734,0
241,1
531,0
33,0
35,0
650,0
701,1
380,1
837,0
211,1
869,1
813,0
502,0
103,0
3,1
814,0
44,1
19,1
251,0
364,0
679,1
510,1
671,0
809,1
9,1
821,1
174,0
246,0
200,0
437,1
812,0
797,1
342,0
721,0
740,1
315,1
478,0
627,1
28,1
11,1
176,0
324,0
363,0
435,1
532,0
454,0
409,0
520,1
748,0
633,0
434,0
43,1
297,0
72,0
346,1
51,0
350,0
466,0
694,0
628,0
870,0
255,1
227,0
30,0
201,0
70,0
381,1
192,1
577,1
489,1
428,0
167,0
779,1
115,0
690,1
284,0
210,0
145,0
63,0
419,0
600,1
652,0
637,0
541,0
432,1
121,0
292,0
742,1
767,0
765,1
771,0
228,0
804,1
357,0
67,0
762,1
40,0
234,0
351,0
872,0
436,0
407,1
630,1
128,1
852,0
400,1
320,0
420,0
625,0
789,0
223,0
152,0
508,0
425,0
747,1
456,0
94,0
563,0
523,1
273,0
882,0
704,0
832,0
514,0
36,1
139,0
334,1
598,0
457,1
777,1
38,0
116,0
411,0
878,0
591,1
475,0
90,0
857,1
711,0
484,1
383,1
330,1
269,1
801,1
525,0
84,1
718,0
825,0
274,1
463,0
175,0
890,0
540,1
298,1
871,1
865,1
122,0
853,1
194,1
243,0
275,1
385,0
528,0
390,1
805,0
182,0
818,0
831,1
550,1
538,0
378,0
366,1
307,1
65,1
885,0
571,1
482,0
572,1
588,0
695,0
267,1
493,0
414,1
393,1
802,1
639,0
179,0
826,0
855,1
247,1
396,0
610,0
