ID,pixel_asm0,pixel_asm1,pixel_asm2,pixel_asm3,pixel_asm4,pixel_asm5,pixel_asm6,pixel_asm7,pixel_asm8,pixel_asm9
7upD1xywIeOmibLNPSo4,72,69,65,68,69,82,58,54,68,50
8a39lGQmftE0MngbKCqu,72,69,65,68,69,82,58,48,48,52
95joqyVh0gaeEIbrv1BA,72,69,65,68,69,82,58,48,48,52
HFQTfjJp98VMhYeBrkmd,72,69,65,68,69,82,58,49,48,48
jERVLnaTwhHFrZbvNfCy,115,101,103,48,48,48,58,48,48,48
6F3Dj4qM15tKvNTEoQlP,72,69,65,68,69,82,58,48,48,52
7AlOZ45a9VQ63HKDyU0z,72,69,65,68,69,82,58,48,48,52
c6ZsLyHfl2kpbSd8vTCB,46,116,101,120,116,58,48,48,52,48
ekRZWI15vJCVP3iBYjld,72,69,65,68,69,82,58,49,48,48
GkMBlvTidr5oyYOVJCwc,72,69,65,68,69,82,58,48,48,52
byp4AhFJdw5z703jLIZO,72,69,65,68,69,82,58,48,48,52
gQUkyb9unAj1ltqeFHhI,72,69,65,68,69,82,58,49,48,48
Dj3FqX9IAHco2tG1UOZS,72,69,65,68,69,82,58,48,48,52
8HEiC2mz6tVxPqD4QhlG,72,69,65,68,69,82,58,48,48,52
HzGMQNh0jB814iA5DbYI,72,69,65,68,69,82,58,48,48,52
0KZFcsOYR4MdPJf6VvGS,72,69,65,68,69,82,58,48,48,52
2nr0GTSxN4zKobZqwpy6,72,69,65,68,69,82,58,48,48,52
cxQKF7NWYzsHOX1R5E8B,72,69,65,68,69,82,58,48,48,52
8GoaOMPuBA3slq2J4TEd,72,69,65,68,69,82,58,48,48,52
gCsQ8mXFHB36S5Ltrhpw,72,69,65,68,69,82,58,48,48,52
I9zqNg8Bj7RECDreiUX4,72,69,65,68,69,82,58,48,48,52
75xUGovrLMWa4tI0XJNV,72,69,65,68,69,82,58,48,48,52
fyPGVdkrRq4mWwIogJea,72,69,65,68,69,82,58,48,48,52
dr5FIgB8cMHx6WETnmOe,72,69,65,68,69,82,58,48,48,52
cw9MqhojugmlnC0iY386,72,69,65,68,69,82,58,49,48,48
AqwKhntSpCI56vsH7WZe,46,116,101,120,116,58,48,48,52,48
FQzrcxDH57n4XYwUltvb,72,69,65,68,69,82,58,49,48,48
Cg8vhSQsrO2Nw6tWAUji,72,69,65,68,69,82,58,48,48,52
CRrAOvzk452LVZIGMWsq,72,69,65,68,69,82,58,48,48,52
704DS8ZCuOtUahTQ1EYx,72,69,65,68,69,82,58,48,48,52
hnNb723ujRBlLTp05r94,72,69,65,68,69,82,58,48,48,52
JlYNWgvo2LCkQRV8d74u,72,69,65,68,69,82,58,48,48,52
GRXZaphsokTrql4u2xMd,72,69,65,68,69,82,58,48,48,52
gYZueKo9wDtQ4FRbB2lf,72,69,65,68,69,82,58,48,48,52
G3sXTkHj07CSAKW84LQb,46,116,101,120,116,58,48,48,52,48
aXjOfx0UdRzWcvLu2rhN,72,69,65,68,69,82,58,54,66,52
jKs2xGwT7nCOQ5hYraFU,72,69,65,68,69,82,58,48,48,52
8G30bR6M9dmVXziN1Fxs,72,69,65,68,69,82,58,49,48,48
5dqHfU3MVR9FclYGXNnm,72,69,65,68,69,82,58,48,48,52
aAPj7tsm9RKdiQc0BnM3,72,69,65,68,69,82,58,48,48,52
IncSU1t5HBKZW9j476pX,72,69,65,68,69,82,58,48,48,52
4UTMdcZkxzLvwygO8EuK,72,69,65,68,69,82,58,48,48,52
d9iovbGSauIRnmtK7e6E,72,69,65,68,69,82,58,48,48,52
H6WRxDPro0tUmKV3pnOS,72,69,65,68,69,82,58,48,48,52
cMdF9wsSLT2eKh7zxliB,72,69,65,68,69,82,58,48,48,52
GTJNch5iVIrx3kA74uwb,72,69,65,68,69,82,58,48,48,52
Iyjk3mOQfLnRTSqzdCJ1,72,69,65,68,69,82,58,48,48,52
5MduI1Bv3KD0ZkHtm4ol,72,69,65,68,69,82,58,48,48,52
ajpIxyzuMmAlJ9cw2HTY,72,69,65,68,69,82,58,48,48,52
f1oeHaTRizBkKXEnLGcF,72,69,65,68,69,82,58,48,48,52
c1SrgTA3MYaeKktWwOiF,72,69,65,68,69,82,58,48,48,52
FOgyq9S0TIH6hzViMN1B,72,69,65,68,69,82,58,49,70,69
atsrDAlNJZBh63Ckbpx9,72,69,65,68,69,82,58,48,48,52
adQni6wWvTPIkf0xsZy7,72,69,65,68,69,82,58,48,48,52
InKeBl2Tt1Oy0qaLWXRg,72,69,65,68,69,82,58,48,48,52
94dA6U1Diuc0rQxlyveO,72,69,65,68,69,82,58,54,50,69
DRk5zvgt4bPBjoy6l1w2,72,69,65,68,69,82,58,48,48,52
gB105vrJPbcGCtuj7p4a,72,69,65,68,69,82,58,48,48,52
cgASXYyjTORWDEGnlZV3,46,116,101,120,116,58,48,48,52,48
E3byOtrSIqhfnYPQmLkl,72,69,65,68,69,82,58,48,48,52
2ZI9SdMvc7WAXK03nPyu,72,69,65,68,69,82,58,48,48,52
4QHFOZBpgUjaPAu6fXrC,46,116,101,120,116,58,48,48,52,48
I1kgetcxWaBhLoMJ8sZp,72,69,65,68,69,82,58,48,48,52
LivEmF2ytpsDexIVWuYR,72,69,65,68,69,82,58,49,48,48
2qAtoGOuMQZdmH3y7bEY,72,69,65,68,69,82,58,48,48,52
9nvIAP8UiY2GxMe5ptSJ,72,69,65,68,69,82,58,49,48,48
JsNlyIfVSCr94oA07Wxw,72,69,65,68,69,82,58,49,48,48
fnHDty72dWwjkXgYqUPA,72,69,65,68,69,82,58,49,48,48
dAyK3ko0fD15PhLSsxc8,72,69,65,68,69,82,58,48,48,52
drTJEXDQkP82ueAgIitZ,72,69,65,68,69,82,58,49,48,48
35rbwhMGTxqAWjuFt20m,46,116,101,120,116,58,48,48,52,48
CGtMcxADYKyHhnTrebkz,72,69,65,68,69,82,58,48,48,52
b59dlNEacoYUAyeR4Ipq,72,69,65,68,69,82,58,48,48,52
dJVXOqTuk80ZWBleDc2Q,72,69,65,68,69,82,58,48,48,52
CSkITPbvqspWu68laVJn,72,69,65,68,69,82,58,49,48,48
bGPHZFpAL3N957064wzj,72,69,65,68,69,82,58,48,48,52
e1oUMvCJ5rNWFnLdPglK,72,69,65,68,69,82,58,48,48,52
faOmpIAWF9ZURkYqg8vr,72,69,65,68,69,82,58,48,48,52
cYb4XuNSqOA9IFLHseG1,72,69,65,68,69,82,58,48,48,52
asKPnzUXjShMc0Tl6Wge,72,69,65,68,69,82,58,48,48,52
ijsaQxUhdyZ0ReqYklbG,72,69,65,68,69,82,58,48,48,52
HfMdBXIbuSaZxGT5W4h1,72,69,65,68,69,82,58,49,48,48
2VvzfnrS4LiIEgCYws1J,72,69,65,68,69,82,58,48,48,52
jNUAeECmnsxGJlQrTubv,72,69,65,68,69,82,58,48,48,52
cBZySt4C8Pr6fgNWLezh,72,69,65,68,69,82,58,53,57,51
jGqYz9DaFMOWUlSwJBge,72,69,65,68,69,82,58,48,48,52
EB0d2fJGLHam1tQCUDWu,72,69,65,68,69,82,58,48,48,52
JmkbRz8HhX1pxuCvUoyj,72,69,65,68,69,82,58,48,48,52
dFjMQn7q1K8Z6ziwG0TP,72,69,65,68,69,82,58,48,48,52
1aDvVlWtPApk6EuKLdCG,72,69,65,68,69,82,58,48,48,52
k5wXQtLF1RumvGs8fSZc,72,69,65,68,69,82,58,48,48,52
asK0HpjZeJCPf6kXDbzx,72,69,65,68,69,82,58,48,48,52
K4IXeqoLWvYJwg8thdrx,72,69,65,68,69,82,58,49,48,48
bUBIJjfCntiQRvzh416F,72,69,65,68,69,82,58,48,48,52
2g9xU7Md0IsoLb5f4QPR,72,69,65,68,69,82,58,48,48,52
0I4ZVvngsAatm8fzD3pk,72,69,65,68,69,82,58,54,68,54
CcwQrZSGsdo8RaKemnUF,72,69,65,68,69,82,58,49,48,48
3m8kb5ILPrHcMC1o9Nht,72,69,65,68,69,82,58,48,48,52
7YrZK0PHmtnEOMfbCdNG,72,69,65,68,69,82,58,48,48,52
